"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1247075856289913166","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1247078088055913166","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1247972150717571317","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1247976614259438431","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","29.80","1","null","口味：秘制浓香325g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1247966318049860283","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1247954690864677669","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1248111687815860283","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1247920237481474922","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","29.80","1","null","口味：秘制浓香325g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1247926033012821746","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1248105063892245777","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1247047812388525741","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1248110319411721234","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1247953970232840562","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1247047452423602784","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","29.80","1","null","口味：秘制浓香325g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1247944682851882836","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","54.80","1","null","口味：秘制浓香325g*3【加送2袋发5袋】","null","null","卖家已发货，等待买家确认","null"
="1247049252274602784","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","2","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1247949110578525741","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1247048136285343038","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","54.80","1","null","口味：秘制浓香325g*3【加送2袋发5袋】","null","null","卖家已发货，等待买家确认","null"
